Citation number,Citation instance,Article,Ground truth,Dataset version
1,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
2,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
3,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
2,2,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
4,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
4,2,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
4,3,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
8,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
11,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Partially supported,v1
12,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
13,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
14,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
15,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
20,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
25,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
29,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
33,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Partially supported,v1
34,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
42,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Not supported,v1
43,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
46,1,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Partially supported,v1
33,2,https://en.wikipedia.org/w/index.php?title=Immigration_to_the_United_States&oldid=1331476438,Supported,v1
1,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
3,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
4,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
5,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
1,3,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
11,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
1,4,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
1,5,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
11,2,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
13,1,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
13,2,https://en.wikipedia.org/w/index.php?title=Fall_of_Aden_(2026)&oldid=1333565519,Supported,v1
11,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Partially supported,v1
16,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
17,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
18,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
8,2,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
17,2,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
20,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
20,2,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
21,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
22,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
23,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
24,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
25,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
26,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
27,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1
